trial_id	strategy	repeat_id	lora_rank	lora_alpha	learning_rate	batch_size	grad_accum_steps	warmup_ratio	weight_decay	lora_targets	max_steps	val_accuracy	val_closed_acc	val_open_acc	train_loss	train_time_min	peak_vram_mb	status	notes	agent_reasoning	phase	temperature
171	random	7	64	256	0.000253	2	4	0.065	0.0774	medium	200	0.408	0.7869	0.0469	0.7109068560600281	16.4	10663.4	completed				0.0
172	random	6	64	256	9.4e-05	2	4	0.0874	0.0643	full	200	0.388	0.7377	0.0547	0.7041627645492554	18.8	11526.7	completed				0.0
173	random	7	32	128	0.000136	4	4	0.0173	0.059	full	200	0.402	0.7705	0.0508	0.6449576425552368	20.0	11388.5	completed				0.0
175	random	7	16	64	0.000138	4	4	0.045	0.0752	full	200	0.396	0.7746	0.0352	0.6920601844787597	20.2	11893.8	completed				0.0
174	random	6	8	32	1.3e-05	4	16	0.0593	0.0679	full	200	0.332	0.6475	0.0312	1.1569563579559325	46.5	11924.4	completed				0.0
176	random	7	16	16	9e-05	4	8	0.099	0.0322	medium	200	0.352	0.6885	0.0312	1.068938217163086	25.6	12438.7	completed				0.0
177	random	6	16	16	0.000269	1	8	0.0034	0.0796	minimal	200	0.374	0.7008	0.0625	0.8381591176986695	20.0	12370.1	completed				0.0
178	random	7	64	64	2.7e-05	2	8	0.0641	0.0707	minimal	200	0.33	0.6475	0.0273	1.1888157892227174	21.1	13018.4	completed				0.0
180	random	7	64	64	0.000112	4	4	0.0525	0.0842	medium	200	0.394	0.75	0.0547	0.8078717684745789	18.1	13669.3	completed				0.0
179	random	6	64	256	2.2e-05	4	16	0.0221	0.0786	medium	200	0.398	0.7623	0.0508	0.8145911455154419	40.9	13163.9	completed				0.0
182	random	6	32	64	0.000102	1	8	0.0467	0.0176	medium	200	0.394	0.75	0.0547	0.8257846736907959	20.9	13621.5	completed				0.0
181	random	7	64	256	5.5e-05	2	16	0.0805	0.0936	full	200	0.416	0.7828	0.0664	0.682335820198059	41.9	14566.8	completed				0.0
184	random	7	4	8	1.7e-05	1	8	0.0381	0.0026	medium	200	0.326	0.6393	0.0273	2.0791186618804933	21.4	14753.0	completed				0.0
